timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1753561767953,00;6;GET characters;200;OK;Nataliia 1-1;text;TRUE;;1017;0;1;1;http://localhost:3001/characters;6;0;0
1753561767960,00;3;GET character ID;200;OK;Nataliia 1-1;text;TRUE;;269;0;1;1;http://localhost:3001/character/1;3;0;0
1753561767964,00;4;POST create character;201;Created;Nataliia 1-1;text;TRUE;;279;224;1;1;http://localhost:3001/character;4;0;2
1753561767969,00;2;PUT change character;200;OK;Nataliia 1-1;text;TRUE;;270;222;1;1;http://localhost:3001/character/22;2;0;0
1753561767971,00;3;Delete character;200;OK;Nataliia 1-1;text;TRUE;;293;225;2;2;http://localhost:3001/character/22;3;0;0
1753561767972,00;3;GET characters;200;OK;Nataliia 1-2;text;TRUE;;1017;0;2;2;http://localhost:3001/characters;3;0;0
1753561767975,00;2;GET characters;200;OK;Nataliia 1-3;text;TRUE;;1017;0;2;2;http://localhost:3001/characters;2;0;0
1753561767976,00;2;GET character ID;200;OK;Nataliia 1-2;text;TRUE;;269;0;2;2;http://localhost:3001/character/1;2;0;0
1753561767977,00;2;GET character ID;200;OK;Nataliia 1-3;text;TRUE;;269;0;2;2;http://localhost:3001/character/1;2;0;0
1753561767979,00;4;POST create character;201;Created;Nataliia 1-2;text;TRUE;;279;224;2;2;http://localhost:3001/character;4;0;2
1753561767980,00;4;POST create character;201;Created;Nataliia 1-3;text;TRUE;;279;224;2;2;http://localhost:3001/character;4;0;1
1753561767984,00;8;PUT change character;200;OK;Nataliia 1-2;text;TRUE;;270;222;3;3;http://localhost:3001/character/22;8;0;0
1753561767985,00;8;PUT change character;200;OK;Nataliia 1-3;text;TRUE;;270;222;3;3;http://localhost:3001/character/23;8;0;0
1753561767987,00;6;GET characters;200;OK;Nataliia 1-4;text;TRUE;;1089;0;3;3;http://localhost:3001/characters;6;0;0
1753561767992,00;3;Delete character;200;OK;Nataliia 1-2;text;TRUE;;293;225;3;3;http://localhost:3001/character/22;3;0;0
1753561767993,00;3;Delete character;200;OK;Nataliia 1-3;text;TRUE;;293;225;2;2;http://localhost:3001/character/23;3;0;0
1753561767994,00;2;GET character ID;200;OK;Nataliia 1-4;text;TRUE;;269;0;1;1;http://localhost:3001/character/1;2;0;0
1753561767997,00;2;POST create character;201;Created;Nataliia 1-4;text;TRUE;;279;224;1;1;http://localhost:3001/character;2;0;1
1753561768000,00;2;PUT change character;200;OK;Nataliia 1-4;text;TRUE;;270;222;1;1;http://localhost:3001/character/22;2;0;0
1753561768002,00;2;Delete character;200;OK;Nataliia 1-4;text;TRUE;;293;225;2;2;http://localhost:3001/character/22;2;0;0
1753561768003,00;1;GET characters;200;OK;Nataliia 1-5;text;TRUE;;1017;0;1;1;http://localhost:3001/characters;1;0;0
1753561768004,00;2;GET character ID;200;OK;Nataliia 1-5;text;TRUE;;269;0;2;2;http://localhost:3001/character/1;2;0;0
1753561768005,00;2;GET characters;200;OK;Nataliia 1-6;text;TRUE;;1017;0;2;2;http://localhost:3001/characters;2;0;0
