timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1753562211341,00;1;PUT change character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-60;text;FALSE;;2631;0;727;727;http://localhost:3001/character/;0;0;1
1753562211312,00;2;PUT change character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-868;text;FALSE;;2631;0;724;724;http://localhost:3001/character/;0;0;2
1753562211301,00;1;PUT change character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-858;text;FALSE;;2631;0;724;724;http://localhost:3001/character/;0;0;1
1753562211301,00;2;Delete character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-448;text;FALSE;;2631;0;724;724;http://localhost:3001/character/;0;0;2
1753562211334,00;2;PUT change character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-575;text;FALSE;;2631;0;719;719;http://localhost:3001/character/;0;0;2
1753562211340,00;1;Delete character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-911;text;FALSE;;2631;0;724;724;http://localhost:3001/character/;0;0;1
1753562211298,00;1;PUT change character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-842;text;FALSE;;2631;0;719;719;http://localhost:3001/character/;0;0;1
1753562211321,00;1;Delete character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-875;text;FALSE;;2631;0;718;718;http://localhost:3001/character/;0;0;1
1753562211323,00;1;Delete character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-520;text;FALSE;;2631;0;718;718;http://localhost:3001/character/;0;0;1
1753562211194,00;283;GET character ID;200;OK;Nataliia 1-638;text;TRUE;;269;0;713;713;http://localhost:3001/character/1;283;0;0
1753562211398,00;1;Delete character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-42;text;FALSE;;2631;0;713;713;http://localhost:3001/character/;0;0;1
1753562211197,00;281;GET character ID;200;OK;Nataliia 1-609;text;TRUE;;269;0;712;712;http://localhost:3001/character/1;281;0;0
1753562211397,00;2;POST create character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-749;text;FALSE;;2631;0;713;713;http://localhost:3001/character;0;0;2
1753562211365,00;34;POST create character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-119;text;FALSE;;2631;0;713;713;http://localhost:3001/character;0;0;33
1753562211199,00;280;GET character ID;200;OK;Nataliia 1-663;text;TRUE;;269;0;712;712;http://localhost:3001/character/1;280;0;0
1753562211199,00;281;GET characters;200;OK;Nataliia 1-856;text;TRUE;;1322;0;712;712;http://localhost:3001/characters;281;0;0
1753562211365,00;34;PUT change character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-102;text;FALSE;;2631;0;712;712;http://localhost:3001/character/;0;0;34
1753562211199,00;281;GET characters;200;OK;Nataliia 1-748;text;TRUE;;1322;0;712;712;http://localhost:3001/characters;281;0;0
1753562211200,00;281;GET characters;200;OK;Nataliia 1-759;text;TRUE;;1322;0;712;712;http://localhost:3001/characters;281;0;0
1753562211398,00;2;Delete character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-487;text;FALSE;;2631;0;712;712;http://localhost:3001/character/;0;0;1
1753562211397,00;2;PUT change character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-103;text;FALSE;;2631;0;712;712;http://localhost:3001/character/;0;0;2
